semel_yeshuv,shem_yeshuv
"3000",ירושלים
"127",רמת רחל
"1070",אביעזר
"783",אבן ספיר
"3759",אדורה
"1123",אדרת
"780",אורה
"3604",אלון שבות
"3556",אלמוג
"3618",אלעזר
"3754",אספר
"3650",אפרת
"740",אשתאול
"3574",בית אל
"3645",בית הערבה
"710",בית זית
"751",בית מאיר
"672",בית נקופה
"2610",בית שמש
"3780",ביתר עילית
"864",בקוע
"823",בר גיורא
"3794",בת עין
"3763",גבע בנימין
"3644",גבעון החדשה
"3730",גבעת זאב
"787",גבעת יערים
"919",גבעת ישעיהו
"1043",גיזו
"3606",גלגל
"39",גפן
"3603",הר גילה
"464",הראל
"3639",ורד יריחו
"799",זכריה
"816",זנוח
"3400",חברון
"3764",חגי
"3788",טלמון
"1134",יד השמונה
"805",ישעי
"3564",כוכב השחר
"3779",כוכב יעקב
"859",כסלון
"3638",כפר אדומים
"364",כפר אוריה
"3488",כפר עציון
"3766",כרמי צור
"52",לוזית
"771",מבוא ביתר
"1015",מבשרת ציון
"3561",מגדל עוז
"208",מוצא עילית
"776",מחסיה
"822",מטע
"742",מסילת ציון
"3616",מעלה אדומים
"286",מעלה החמישה
"3752",מעלה לבונה
"3651",מעלה מכמש
"3576",מצפה יריחו
"3610",מצפה שלם
"3724",נגוהות
"3573",נוה צוף
"405",נווה אילן
"3725",נווה דניאל
"1071",נווה מיכאל
"1259",נווה שלום
"3726",נוקדים
"59",נחושה
"3767",נחליאל
"809",נחם
"777",נחשון
"1254",נטף
"825",נס הרים
"3555",נתיב הגדוד
"794",עגור
"3617",עופרה
"3658",עטרת
"3715",עלמון
"3824",עמיחי
"779",עמינדב
"3723",פני חבר
"3659",פסגות
"465",צובה
"796",צלפון
"1079",צפרירים
"567",צרעה
"3781",קדר
"3601",קליה
"1137",קרית יערים
"78",קרית ענבים
"3602",ראש צורים
"3565",רימונים
"460",רמת רזיאל
"27",שדות מיכה
"741",שואבה
"456",שורש
"3641",שילה
"1114",שריגים (לי-און)
"3558",תומר
"10",תירוש
"3719",תלם
"752",תעוז
"778",תרום
"1115",אביבים
"4010",אודם
"1294",אור הגנוז
"4013",אורטל
"77",איילת השחר
"4003",אל-רום
"4017",אלוני הבשן
"730",אליפלט
"1064",אמירים
"368",ביריה
"322",בית הלל
"1191",בר יוחאי
"667",ברעם
"35",גדות
"852",גונן
"2063",דישון
"431",דלתון
"303",דן
"302",דפנה
"356",הגושרים
"253",חולתה
"1047",חזון
"2034",חצור הגלילית
"2009",יובל
"453",יפתח
"623",יראון
"1338",כדיתה
"1252",כורזים
"1210",כחל
"357",כפר בלום
"76",כפר גלעדי
"443",כפר הנשיא
"609",כפר חושן
"1297",כפר חנניה
"345",כפר סאלד
"605",כפר שמאי
"1285",כרכום
"664",כרם בן זמרה
"380",להבות הבשן
"4201",מג'דל שמס
"308",מחניים
"43",מטולה
"607",מירון
"596",מלכיה
"347",מנרה
"4203",מסעדה
"416",מעין ברוך
"843",מרגליות
"4101",מרום גולן
"378",משגב עם
"732",משמר הירדן
"408",נאות מרדכי
"578",סאסא
"4501",ע'ג'ר
"4502",עין קנייא
"688",עלמה
"1212",עמוקה
"385",עמיעד
"319",עמיר
"599",פרוד
"1213",צבעון
"8000",צפת
"4025",קדמת צבי
"1211",קדרים
"4024",קלע
"4100",קצרין
"4006",קשת
"540",ריחאניה
"372",רמות נפתלי
"324",שאר ישוב
"861",שדה אליעזר
"329",שדה נחמיה
"366",שמיר
"1132",שניר
"4009",שעל
"846",שפר
"4011",אבני איתן
"49",אילניה
"330",אלומות
"4002",אלי-עד
"1125",אלמגור
"1253",אמנון
"4012",אניעם
"4301",אפיק
"176",אפיקים
"701",ארבל
"199",אשדות יעקב  (איחוד)
"188",אשדות יעקב  (מאוחד)
"143",בית זרע
"365",בית קשת
"4015",בני יהודה
"1293",גבעת אבני
"4021",גבעת יואב
"262",גינוסר
"4022",גשור
"305",גשר
"62",דגניה א'
"79",דגניה ב'
"702",האון
"307",הזורעים
"4026",חד-נס
"374",חוקוק
"993",חמאם
"4005",חספין
"6700",טבריה
"46",יבנאל
"4007",יונתן
"1229",כלנית
"4028",כנף
"63",כנרת (מושבה)
"57",כנרת (קבוצה)
"786",כפר זיתים
"255",כפר חיטים
"4004",כפר חרוב
"508",כפר כמא
"388",כפר קיש
"47",כפר תבור
"585",לביא
"1230",לבנים
"4204",מבוא חמה
"65",מגדל
"4019",מיצר
"48",מנחמיה
"1258",מסד
"263",מסדה
"678",מעגן
"4008",מעלה גמלא
"58",מצפה
"1190",מצפה נטופה
"4551",נאות גולן
"4304",נוב
"4014",נטור
"530",עיילבון
"273",עין גב
"1105",פוריה - נווה עובד
"1313",פוריה עילית
"4702",רמות
"4701",רמת מגשימים
"721",שדה אילן
"306",שדמות דבורה
"264",שער הגולן
"292",שרונה
"719",תל קציר
"2052",אביטל
"113",אדירים
"1108",אומן
"1330",אחוזת ברק
"1182",אלון הגליל
"429",אלוני אבא
"285",אלונים
"682",אליקים
"3598",ארגמן
"482",בועיינה-נוג'ידאת
"95",בית אלפא
"242",בית השיטה
"353",בית זיד
"265",בית יוסף
"430",בית לחם הגלילית
"1162",בית רימון
"9200",בית שאן
"248",בית שערים
"94",בלפוריה
"944",בסמת טבעון
"3612",בקעות
"141",ברק
"86",גבע
"1288",גבעת אלה
"703",גבעת עוז
"133",גבת
"145",גדיש
"442",גדעונה
"457",גזית
"92",גיניגר
"3613",גיתית
"369",גלעד (אבן יצחק)
"146",דבורה
"489",דבוריה
"407",דברת
"475",דחי
"300",דליה
"1186",הושעיה
"250",הזורע
"684",היוגב
"677",הסוללים
"975",זרזיר
"1110",חבר
"343",חמדיה
"3646",חמדת
"3609",חמרה
"1257",חנתון
"90",חפצי-בה
"498",טורעאן
"268",טירת צבי
"547",טמרה (יזרעאל)
"452",יזרעאל
"499",יפיע
"3566",יפית
"134",יפעת
"241",יקנעם (מושבה)
"240",יקנעם עילית
"2026",ירדנה
"978",כעביה-טבאש-חג'אג'רה
"132",כפר ברוך
"106",כפר גדעון
"192",כפר החורש
"140",כפר יהושע
"85",כפר יחזקאל
"295",כפר רופין
"874",מגדל העמק
"586",מגידו
"1155",מגן שאול
"2029",מדרך עוז
"269",מולדת
"635",מוקייבלה
"104",מזרע
"3599",מחולה
"1413",מחנה יהודית
"2054",מיטב
"3614",מכורה
"164",מלאה
"994",מנשית זבדה
"298",מסילות
"272",מעוז חיים
"1127",מעלה גלבוע
"97",מרחביה (מושב)
"66",מרחביה (קיבוץ)
"520",משהד
"3605",משואה
"3785",משכיות
"130",משמר העמק
"524",נאעורה
"80",נהלל
"590",נווה אור
"296",נווה איתן
"1061",נוף הגליל
"833",נורית
"523",ניין
"256",ניר דוד (תל עמל)
"165",ניר יפה
"7300",נצרת
"511",עילוט
"436",עין דור
"367",עין העמק
"270",עין השופט
"89",עין חרוד (איחוד)
"82",עין חרוד (מאוחד)
"532",עין מאהל
"7700",עפולה
"3615",פצאל
"2053",פרזון
"613",ציפורי
"636",צנדלה
"2016",רוויה
"539",רומאנה
"997",רומת הייב
"3619",רועי
"3782",רותם
"854",רחוב
"542",ריינה
"1069",רם-און
"445",רמות מנשה
"135",רמת דוד
"335",רמת השופט
"122",רמת ישי
"339",רמת צבי
"437",רשפים
"913",שבלי - אום אל-גנם
"304",שדה אליהו
"142",שדה יעקב
"259",שדה נחום
"2057",שדי תרומות
"3578",שדמות מחולה
"439",שלוחות
"1337",שמשית
"126",שריד
"84",תל יוסף
"103",תל עדשים
"1283",תל תאומים
"1244",תמרת
"473",אבו סנאן
"1220",אבירים
"1081",אבן מנחם
"1068",אדמית
"294",אילון
"603",אלקוש
"1256",אשרת
"559",בוסתן הגליל
"572",בית העמק
"712",בן עמי
"589",בצת
"755",גורן
"463",געתון
"574",גשר הזיו
"1208",הילה
"662",חוסן
"496",חורפיש
"1272",חלוץ
"280",חניתה
"1209",חרשים
"1181",טל-אל
"1295",יאנוח-ג'ת
"409",יחיעם
"795",יערה
"502",ירכא
"576",כברי
"1153",כישור
"1183",כליל
"1296",כסרא-סמיע
"1263",כפר ורדים
"297",כפר מסריק
"579",כפר ראש הנקרה
"1130",כפר רוזנואלד (זרעית)
"1207",לבון
"595",לוחמי הגיטאות
"674",לימן
"1173",לפידות
"517",מזרעה
"1205",מנות
"570",מעונה
"1063",מעלות-תרשיחא
"325",מצובה
"1184",מתת
"9100",נהריה
"1314",נווה זיו
"1147",נטועה
"1143",נס עמים
"792",נתיב השיירה
"454",סער
"892",עבדון
"376",עברון
"289",עין המפרץ
"813",עין יעקב
"7600",עכו
"708",עמקה
"1246",עראמשה
"1185",פלך
"535",פסוטה
"536",פקיעין (בוקייעה)
"281",פקיעין חדשה
"774",צוריאל
"390",רגבה
"282",שבי ציון
"614",שומרה
"658",שייח' דנון
"812",שלומי
"432",שמרת
"1045",שתולה
"1172",תובל
"4000",חיפה
"278",אושה
"313",אפק
"1321",ח'ואלד
"2100",טירת כרמל
"96",יגור
"220",כפר ביאליק
"427",כפר גלים
"254",כפר המכבי
"112",כפר חסידים א'
"889",כפר חסידים ב'
"2500",נשר
"534",עספיא
"6800",קרית אתא
"9500",קרית ביאליק
"2300",קרית טבעון
"9600",קרית ים
"8200",קרית מוצקין
"922",רכסים
"178",רמת יוחנן
"237",שער העמקים
"679",אביאל
"2710",אום אל-פחם
"2024",אום אל-קוטוף
"1020",אור עקיבא
"1316",אל-עריאן
"868",אלוני יצחק
"6000",באקה אל-גרביה
"317",בית אורן
"800",בית חנניה
"212",בית צבי
"9800",בנימינה-גבעת עדה
"617",ברקאי
"33",בת שלמה
"541",ג'סר א-זרקא
"628",ג'ת
"683",גבע כרמל
"225",גן השומרון
"72",גן שמואל
"738",דור
"675",הבונים
"434",החותרים
"9300",זכרון יעקב
"6500",חדרה
"3643",חיננית
"3717",חרמש
"310",כפר גליקסון
"189",כפר פינס
"654",כפר קרע
"715",להבות חביבה
"3569",מבוא דותן
"689",מגדים
"375",מגל
"1128",מי עמי
"649",מייסר
"694",מעגן מיכאל
"1327",מעלה עירון
"344",מענית
"1370",מצפה אילן
"648",מצר
"213",משמרות
"312",נווה ים
"433",נחשולים
"769",ניר עציון
"810",עופר
"687",עין איילה
"74",עין הוד
"1320",עין חוד
"426",עין כרמל
"223",עין עירון
"139",עין שמר
"773",עמיקם
"637",ערערה
"53",עתלית
"537",פוריידיס
"612",צרופה
"1167",קיסריה
"1243",קציר
"444",רגבים
"3568",ריחן
"2008",שדה יצחק
"327",שדות ים
"3649",שקד
"2003",תלמי אלעזר
"175",אביחיל
"182",אבן יהודה
"446",אודים
"680",אומץ
"850",אחיטוב
"204",אלישיב
"1324",ארסוף
"697",בארותיים
"698",בורגתה
"2043",בחן
"373",בית הלוי
"877",בית חירות
"288",בית יהושע
"200",בית ינאי
"326",בית יצחק-שער חפר
"252",ביתן אהרן
"386",בני דרור
"418",בני ציון
"389",בצרה
"1361",בת חן
"872",גאולי תימן
"2018",גבעת חיים (איחוד)
"173",גבעת חיים (מאוחד)
"1077",גבעת שפירא
"734",גן יאשיה
"549",גנות הדר
"842",געש
"191",הדר עם
"377",המעפיל
"423",העוגן
"1290",זמר
"205",חגלה
"115",חופית
"219",חיבת ציון
"162",חירות
"807",חניאל
"422",חרב לאת
"1024",חרוצים
"2730",טייבה
"758",יד חנה
"1044",יעף
"417",יקום
"187",כפר הס
"190",כפר ויתקין
"193",כפר חיים
"233",כפר ידידיה
"168",כפר יונה
"170",כפר יעבץ
"387",כפר מונש
"316",כפר נטר
"382",מכמורת
"197",מעברות
"194",משמר השרון
"425",משמרת
"447",נורדיה
"851",ניצני עוז
"186",נעורים
"7400",נתניה
"737",עולש
"837",עזריאל
"167",עין החורש
"157",עין ורד
"880",עין שריד
"3712",ענב
"767",פורת
"171",פרדסיה
"1102",צוקי ים
"276",צור משה
"195",קדימה-צורן
"638",קלנסווה
"247",רשפון
"3571",שבי שומרון
"224",שושנת העמקים
"661",שער אפרים
"232",שפיים
"287",תל יצחק
"154",תל מונד
"2002",תנובות
"1309",אלעד
"450",בארות יצחק
"448",בני עטרות
"2038",ברקת
"870",גבעת השלושה
"681",גבעת שמואל
"229",גני תקווה
"128",גת רימון
"663",טירת יהודה
"9400",יהוד-מונוסון
"249",כפר סירקין
"722",מגשימים
"606",מזור
"230",מעש
"257",נופך
"449",נחלים
"705",נחשונים
"871",עינת
"7900",פתח תקווה
"2640",ראש העין
"616",רינתיה
"804",אחיסמך
"797",אחיעזר
"2530",באר יעקב
"466",בית דגן
"784",בית נחמיה
"301",בית עוזיאל
"604",בית עריף
"1084",בן שמן (כפר נוער)
"2013",בן שמן (מושב)
"370",גזר
"863",גינתון
"745",גמזו
"836",גנות
"1103",גני הדר
"788",זיתן
"618",חדיד
"160",חולדה
"801",חמד
"798",יגל
"759",יציץ
"828",ישרש
"2010",כפר בן נון
"707",כפר דניאל
"673",כפר טרומן
"1166",כפר רות
"1264",כרמי יוסף
"7000",לוד
"1310",לפיד
"1141",מבוא מודיעים
"3797",מודיעין עילית
"1200",מודיעין-מכבים-רעות
"757",מצליח
"670",משמר איילון
"563",משמר דוד
"729",משמר השבעה
"3648",מתתיהו
"1333",נוף איילון
"331",ניר צבי
"3787",נעלה
"158",נען
"435",נצר סרני
"610",סתריה
"711",עזריה
"838",פדיה
"594",צפריה
"735",רמות מאיר
"8500",רמלה
"1304",שוהם
"1165",שילת
"856",שעלבים
"1336",אירוס
"562",בית אלעזרי
"571",בית גמליאל
"2033",בית חלקיה
"159",בית חנן
"202",בית עובד
"848",בית רבן
"760",בן זכאי
"592",בני דרום
"588",בני ראם
"685",בניה
"853",גאליה
"147",גבעת ברנר
"2550",גדרה
"196",גיבתון
"1072",גן הדרום
"166",גן יבנה
"311",גן שורק
"144",גן שלמה
"1371",גני טל
"862",גני יוחנן
"363",חפץ חיים
"2660",יבנה
"577",יד בנימין
"440",יסודות
"857",כפר אביב
"764",כפר מרדכי
"1094",כרם יבנה (ישיבה)
"28",מזכרת בתיה
"1411",מחנה הילה
"1412",מחנה תל נוף
"731",מישר
"765",משגב דב
"174",נטעים
"720",ניר גלים
"7200",נס ציונה
"1372",נצר חזני
"156",עיינות
"591",עשרת
"597",פלמחים
"334",קבוצת יבנה
"615",קדרון
"469",קרית עקרון
"8300",ראשון לציון
"8400",רחובות
"555",שדמה
"5000",תל אביב - יפו
"6100",בני ברק
"6300",גבעתיים
"346",גליל ים
"6400",הרצליה
"267",כפר שמריהו
"8600",רמת גן
"2650",רמת השרון
"2400",אור יהודה
"565",אזור
"6200",בת ים
"6600",חולון
"22",מקווה ישראל
"2620",קרית אונו
"819",אביגדור
"400",אבן שמואל
"67",אור הנר
"2012",אורות
"1157",אחווה
"821",אחוזם
"338",איבים
"37",איתן
"1365",אליאב
"772",אמונים
"23",אמציה
"714",ארז
"70",אשדוד
"7100",אשקלון
"1376",באר גנים
"155",באר טוביה
"234",ביצרון
"619",בית גוברין
"16",בית ניר
"756",בית עזרא
"747",בית שקמה
"1368",בני דקלים
"428",ברור חיל
"746",ברכיה
"1323",בת הדר
"424",גבים
"793",גבעתי
"342",גברעם
"706",גיאה
"393",גלאון
"340",גת (קיבוץ)
"336",דורות
"726",הודיה
"1133",ורדון
"815",זבדיאל
"44",זוהר
"584",זיקים
"818",זרחיה
"820",חלץ
"700",חצב
"406",חצור-אשדוד
"358",יד מרדכי
"775",יד נתן
"811",יכיני
"2011",ינון
"824",כוכב מיכאל
"690",כפר אחים
"320",כפר ורבורג
"274",כפר מנחם
"107",כפר סילבר
"845",כפר עזה
"1374",כרמי קטיף
"768",כרמיה
"24",לכיש
"573",מבקיעים
"1414",מחנה מרים
"2030",מנוחה
"668",מפלסים
"1098",מרכז שפירא
"620",משואות יצחק
"791",משען
"315",נגבה
"309",נהורה
"55",נוגה
"827",נווה מבטח
"15",נועם
"844",נחל עוז
"2045",נחלה
"1369",נטע
"1419",ניצן ב'
"359",ניצנים
"553",ניר בנים
"699",ניר ישראל
"348",ניר עם
"1242",נתיב העשרה
"2046",סגולה
"826",עוזה
"32",עוצם
"1149",עזר
"817",עזריקם
"622",עין צורים
"593",ערוגות
"2630",קרית גת
"564",רבדים
"2051",רווחה
"362",רוחמה
"36",שדה דוד
"293",שדה יואב
"18",שדה משה
"739",שדה עוזיהו
"1031",שדרות
"7",שחר
"873",שלווה
"692",שפיר
"1233",שקף
"763",שתולים
"163",תימורים
"727",תלמי יחיאל
"744",תלמי יפה
"814",תלמים
"968",אבו קורינאת (שבט)
"1046",אוהד
"31",אופקים
"403",אורים
"1126",אילות
"2600",אילת
"1248",אליפז
"963",אעצם (שבט)
"71",אשבול
"3722",אשכולות
"1152",אשלים
"21",באר אורה
"1278",באר מילכה
"9000",באר שבע
"399",בארי
"762",בטחה
"723",בית הגדי
"598",בית קמה
"1363",בני נצרים
"2060",ברוש
"352",גבולות
"2014",גבעולים
"736",גילת
"1129",גרופית
"849",דבירה
"2200",דימונה
"1241",דקל
"1349",דריג'את
"1169",הוואשלה (שבט)
"1261",הר עמשא
"1065",זמרת
"2064",זרועה
"1239",חולית
"13",חצבה
"397",חצרים
"1177",טללים
"3743",טנא
"1232",יבול
"1158",יהל
"803",יושיביה
"866",יטבתה
"831",ירוחם
"916",ישע
"1227",יתד
"840",כיסופים
"1291",כמהין
"1059",כסיפה
"1095",כפר מימון
"1085",כרם שלום
"1198",כרמים
"3656",כרמל
"2023",להב
"1255",לוטן
"1060",לקיה
"829",מבטחים
"695",מגן
"1418",מחנה טלי
"1416",מחנה יוכבד
"1415",מחנה יפה
"1268",מיתר
"2044",מלילות
"939",מסעודין אל-עזאזמה
"1082",מעגלים
"3657",מעון
"3745",מצדות יהודה
"1340",מרחב עם
"421",משאבי שדה
"395",משמר הנגב
"1124",נאות הכיכר
"1197",נאות סמדר
"396",נבטים
"1366",נווה
"1057",נווה זוהר
"1195",ניצנה (קהילת חינוך)
"402",ניר יצחק
"2047",ניר משה
"69",ניר עוז
"2048",ניר עקיבא
"602",נירים
"1041",נצאצרה (שבט)
"246",נתיבות
"3756",סוסיה
"1238",סופה
"1156",סמר
"3777",סנסנה
"419",סעד
"1360",סעוה
"666",עומר
"1175",עידן
"2042",עין גדי
"1240",עין הבשור
"676",עין השלושה
"806",עין יהב
"1251",עין תמר
"1146",עלומים
"318",עמיעוז
"2560",ערד
"1192",ערערה-בנגב
"1151",פארן
"750",פדויים
"749",פטיש
"1231",פרי גן
"413",צאלים
"1136",צוחר
"1150",צופר
"1262",צוקים
"1052",קטורה
"414",קלחים
"1347",קצר א-סר
"354",רביבים
"789",רנן
"713",רעים
"1260",רתמים
"1377",שבי דרום
"1286",שגב-שלום
"885",שדה בוקר
"1058",שדה ניצן
"2049",שדה צבי
"1223",שדי אברהם
"761",שובה
"394",שובל
"1265",שומריה
"415",שוקדה
"1266",שחרות
"865",שיבולים
"1364",שלומית
"3784",שמעה
"1287",שני
"398",שרשרת
"2062",תאשור
"2061",תדהר
"1054",תל שבע
"1051",תלמי אליהו
"1237",תלמי יוסף
"665",תקומה
"3760",אורנית
"716",אייל
"3762",איתמר
"3579",אלון מורה
"841",אלישמע
"3750",אלפי מנשה
"3560",אלקנה
"3570",אריאל
"3652",בית אריה
"3744",ברוכין
"3654",ברקן
"627",ג'לג'וליה
"239",גן חיים
"218",גני עם
"9700",הוד השרון
"717",חגור
"355",חורשים
"3749",יצהר
"718",ירחיב
"183",ירקונה
"1224",כוכב יאיר
"633",כפר ברא
"6900",כפר סבא
"3751",מגדלים
"686",נווה ימין
"858",נווה ירק
"3790",נופים
"808",ניר אליהו
"1236",נירית
"3567",סלעית
"2035",עדנים
"3660",עמנואל
"198",צופית
"1345",צור יצחק
"1148",צור נתן
"3557",קדומים
"3746",קרית נטפים
"3640",קרני שומרון
"3822",רחלים
"206",רמות השבים
"184",רמת הכובש
"8700",רעננה
"284",שדה ורבורג
"2015",שדי חמד
"3826",שער שומרון
"1275",אבטליון
"785",אחיהוד
"529",אעבלין
"1188",אשחר
"480",בית ג'ן
"1204",גילון
"490",דייר אל-אסד
"492",דייר חנא
"1317",דמיידה
"1203",הררית
"1332",חוסנייה
"8900",טמרה
"1112",יודפת
"575",יסעור
"1138",יעד
"504",כאבול
"1331",כמאנה
"1201",כמון
"510",כפר מנדא
"1139",כרמיאל
"1171",לוטם
"516",מג'ד אל-כרום
"1163",מורן
"1178",מורשת
"1202",מכמנים
"1174",מנוף
"522",נחף
"1245",סלמה
"1199",עדי
"917",עצמון שגב
"531",עראבה
"1335",ערב אל נעים
"1180",צביה
"1221",צורית
"1179",קורנית
"1334",ראס אל-עין
"1228",רקפת
"1235",שורשים
"527",שזור
"1160",שכניה
"538",שעב
"8800",שפרעם
